provider,acronym,name,web_status,describe_score,define_score,define_bp_score,connection_score,flat_score,core_average,core_average_2dp,core_average_bp,core_average_bp_2dp,define_bp_source,weakest_metric,bp_categories,bp_language,submission_id,bp_version,bp_released,bp_url
bioportal,POEM,Psychometric Ontology of Experiences and Measures,scored,9.99,5.58,5.58,2.33,10.0,6.975,6.98,6.975,6.98,"same_as_strict (1.0 result, not re-checked)",Connection,Human,OWL,8,1.0,2025-01-07T18:13:42.000-08:00,https://bioportal.bioontology.org/ontologies/POEM
bioportal,PORO,Porifera Ontology,scored,10.0,5.56,5.56,6.08,10.0,7.91,7.91,7.91,7.91,"same_as_strict (1.0 result, not re-checked)",Define,Anatomy;Phenotype,OWL,9,unknown,2021-11-08T18:11:03.000-08:00,https://bioportal.bioontology.org/ontologies/PORO
bioportal,PP,Pipeline Patterns Ontology,scored,8.0,3.25,3.25,2.1,6.0,4.8375,4.84,4.8375,4.84,"same_as_strict (1.0 result, not re-checked)",Connection,Upper_Level_Ontology,OWL,1,1.0,2014-12-17T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PP
bioportal,PPLC,Placental Pathology Lesion Classification,parse_failed,,,,,,,,,,,,Health,OWL,1,1.0,2020-01-13T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PPLC
bioportal,PPO,Plant Phenology Ontology,scored,9.98,6.62,6.62,5.94,10.0,8.135000000000002,8.14,8.135000000000002,8.14,"same_as_strict (1.0 result, not re-checked)",Connection,,OWL,13,2026-05-06,2026-05-06T18:10:55.000-07:00,https://bioportal.bioontology.org/ontologies/PPO
bioportal,PR,Protein Ontology,scored,10.0,6.76,6.76,8.51,10.0,8.817499999999999,8.82,8.817499999999999,8.82,same_as_strict,Define,All_Organisms;Gene_Product;Molecule;Protein,OWL,94,73.0,2026-09-15T18:13:15.000-07:00,https://bioportal.bioontology.org/ontologies/PR
bioportal,PREFER,Precision Fermentation Ontology,scored,10.0,6.1,6.1,8.32,10.0,8.605,8.6,8.605,8.6,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,7,2026-08-24,2026-08-25T18:11:09.000-07:00,https://bioportal.bioontology.org/ontologies/PREFER
bioportal,PREGONTO,Pregnancy Ontology,scored,9.75,0.0,0.0,0.0,8.0,4.4375,4.44,4.4375,4.44,"same_as_strict (1.0 result, not re-checked)",Define,Biological_Process,OWL,1,,2018-10-31T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PREGONTO
bioportal,PREMEDONTO,Precision Medicine Ontology,scored,10.0,6.03,6.03,0.34,10.0,6.5925,6.59,6.5925,6.59,"same_as_strict (1.0 result, not re-checked)",Connection,Health,OWL,1,,2018-11-24T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PREMEDONTO
bioportal,PREO,Presence Ontology,scored,9.96,0.0,0.0,2.25,10.0,5.5525,5.55,5.5525,5.55,"same_as_strict (1.0 result, not re-checked)",Define,Biomedical_Resources;Health;Human,OWL,1,1.0.0,2019-07-27T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PREO
bioportal,PROCCHEMICAL,Chemical Process,scored,0.37,0.24,0.24,1.43,9.0,2.76,2.76,2.76,2.76,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,1,2.3,2016-01-08T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PROCCHEMICAL
bioportal,PROCO,Process Chemistry Ontology,scored,10.0,6.03,6.03,2.43,9.0,6.865,6.86,6.865,6.86,"same_as_strict (1.0 result, not re-checked)",Connection,Other,OWL,1,PROCO release 20220414,2022-04-14T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PROCO
bioportal,PROJ,Project ontology,scored,9.73,3.66,3.66,1.63,8.0,5.755,5.76,5.755,5.76,"same_as_strict (1.0 result, not re-checked)",Connection,Other,OWL,2,2020,2020-04-24T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PROJ
bioportal,PROMOT,PROMOT Ontology,scored,9.99,5.13,5.13,8.08,10.0,8.3,8.3,8.3,8.3,"same_as_strict (1.0 result, not re-checked)",Define,Dysfunction;Health;Human;Neurologic_Disease;Neurological_Disorder;Phenotype,OWL,2,V1.02,2026-09-14T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PROMOT
bioportal,PROPREO,Proteomics Data and Process Provenance Ontology,scored,9.82,6.22,6.22,2.31,10.0,7.0874999999999995,7.09,7.0874999999999995,7.09,"same_as_strict (1.0 result, not re-checked)",Connection,,OWL,2,1.1,2015-08-21T18:05:51.000-07:00,https://bioportal.bioontology.org/ontologies/PROPREO
bioportal,PROVO,Provenance Ontology,scored,10.0,4.61,4.61,2.54,9.0,6.5375,6.54,6.5375,6.54,"same_as_strict (1.0 result, not re-checked)",Connection,,OWL,124,Recommendation version 2013-04-30,2013-07-04T00:00:00.000-07:00,https://bioportal.bioontology.org/ontologies/PROVO
bioportal,PSDO,Performance Summary Display Ontology,scored,10.0,6.33,6.33,4.95,10.0,7.819999999999999,7.82,7.819999999999999,7.82,"same_as_strict (1.0 result, not re-checked)",Connection,Other,OWL,9,1.0.1,2026-02-10T18:15:51.000-08:00,https://bioportal.bioontology.org/ontologies/PSDO
bioportal,PSDS,Plant Structure Development Stage,scored,9.97,6.53,6.53,7.64,10.0,8.535,8.54,8.535,8.54,"same_as_strict (1.0 result, not re-checked)",Define,Development;Plant;Plant_Development,OBO,6,Release #20,2013-08-21T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PSDS
bioportal,PSIMOD,Protein Modification Ontology,scored,10.0,6.92,6.92,8.38,10.0,8.825000000000001,8.83,8.825000000000001,8.83,"same_as_strict (1.0 result, not re-checked)",Define,,OBO,35,1.031.6,2026-09-18T18:11:56.000-07:00,https://bioportal.bioontology.org/ontologies/PSIMOD
bioportal,PSO,PatientSafetyOntology,scored,9.68,0.51,0.51,1.8,10.0,5.4975000000000005,5.5,5.4975000000000005,5.5,"same_as_strict (1.0 result, not re-checked)",Define,Health;Vocabularies,OWL,2,008:2017-08-04: Einarbeitung der Zustände,2017-06-25T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PSO
bioportal,PSO_2,PatientSafetyOntologyRevisted,scored,9.97,0.0,0.0,0.96,10.0,5.2325,5.23,5.2325,5.23,same_as_strict,Define,Health,OWL,3,005,2020-06-26T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PSO_2
bioportal,PTO,Plant Trait Ontology,scored,9.99,6.59,6.59,7.28,10.0,8.465,8.46,8.465,8.46,"same_as_strict (1.0 result, not re-checked)",Define,Phenotype;Plant,OWL,440,May 2025,2026-01-14T18:16:06.000-08:00,https://bioportal.bioontology.org/ontologies/PTO
bioportal,PTRANS,Pathogen Transmission Ontology,scored,9.72,6.05,6.05,6.83,9.0,7.9,7.9,7.9,7.9,"same_as_strict (1.0 result, not re-checked)",Define,Health;Vocabularies,OWL,20,2026-03-13,2026-03-14T13:48:52.000-07:00,https://bioportal.bioontology.org/ontologies/PTRANS
bioportal,PTRO,Preclinical Trials in Radiation Oncology Ontology,scored,10.0,6.49,6.49,0.0,10.0,6.6225000000000005,6.62,6.6225000000000005,6.62,"same_as_strict (1.0 result, not re-checked)",Connection,,OWL,2,0.1 alpha,2026-04-27T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PTRO
bioportal,PTS,Pathway Terminology System,scored,10.0,0.02,0.02,2.92,10.0,5.734999999999999,5.74,5.734999999999999,5.74,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,1,1.0,2015-08-21T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PTS
bioportal,PU,Test Dataset,scored,10.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,1,,2024-12-20T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/PU
bioportal,PVONTO,Pharmacovigilance Ontology,scored,9.71,0.0,0.0,0.0,7.0,4.1775,4.18,4.1775,4.18,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,1,0.1,2011-01-17T00:00:00.000-08:00,https://bioportal.bioontology.org/ontologies/PVONTO
bioportal,PW,Pathway Ontology,scored,10.0,6.21,6.21,6.95,10.0,8.29,8.29,8.29,8.29,"same_as_strict (1.0 result, not re-checked)",Define,Biological_Process,OBO,130,2026-05-16,2026-05-18T18:13:06.000-07:00,https://bioportal.bioontology.org/ontologies/PW
bioportal,QUANTUM-MIND,Quantum Mind Framework,scored,9.27,5.22,5.22,2.32,10.0,6.7025,6.7,6.7025,6.7,"same_as_strict (1.0 result, not re-checked)",Connection,Health;Human;Other,OWL,4,,2026-02-11T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/QUANTUM-MIND
bioportal,QUDT,"Quantities, Units, Dimensions, and Types Ontology",scored,10.0,3.99,3.99,3.01,10.0,6.75,6.75,6.75,6.75,http://purl.org/dc/elements/1.1/description [bioportal_definitionProperty],Connection,Other,OWL,46,,2026-09-22T18:14:31.000-07:00,https://bioportal.bioontology.org/ontologies/QUDT
bioportal,QUDT2,"Quantities, Units, Dimensions and Types (QUDT) Schema - Version 2.0",scored,9.49,1.47,1.47,2.96,9.0,5.73,5.73,5.73,5.73,"same_as_strict (1.0 result, not re-checked)",Define,Upper_Level_Ontology,OWL,1,2.0,2016-10-09T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/QUDT2
