acronym,eval_status,eval_bytes,triple_count,entities,classes,individuals,bp_classes,sniffed_format,parse_format,eval_seconds,wall_seconds,parent_peak_rss_mb,gpu_peak_allocated_mb,define_device,define_defined,time_sniff,time_parse,time_identity,time_index,time_stats,time_describe,time_define,time_connection,time_flat,time_entities_table,time_total,time_write_outputs,time_define_bp,define_seconds_encode_labels,define_seconds_encode_definitions,download_seconds
PLANP,done,11186685.0,129154.0,3562.0,3562.0,0.0,3562.0,xml,xml,7.174,7.174,1873.6,1040.2,cuda,3523.0,0.001,4.217,0.0,0.698,0.007,0.021,1.411,0.051,0.052,0.016,6.948,0.07,,0.472,0.894,3.802
PLANTSO,done,8292702.0,99425.0,4903.0,4901.0,2.0,4900.0,xml,xml,4.91,4.91,1830.3,984.0,cuda,976.0,0.001,3.25,0.0,0.533,0.007,0.027,0.401,0.033,0.046,0.021,4.697,0.051,,0.101,0.282,2.795
PLIO,done,697972.0,4887.0,376.0,376.0,0.0,376.0,xml,xml,0.46,0.46,0.0,451.9,cuda,3.0,0.0,0.149,0.001,0.013,0.0,0.001,0.019,0.001,0.004,0.002,0.334,0.008,,0.009,0.009,0.341
PLOSTHES,done,11185105.0,113483.0,10717.0,10715.0,2.0,4.0,xml,xml,5.812,5.812,1852.6,450.7,,0.0,0.001,4.322,0.008,0.652,0.013,0.045,0.015,0.016,0.009,0.038,5.587,0.064,,,,3.75
PMA,done,1891722.0,14627.0,2085.0,2085.0,0.0,2084.0,xml,xml,1.91,1.91,1657.3,1035.7,,0.0,0.0,0.528,0.002,0.17,0.002,0.008,0.003,0.002,0.004,0.007,1.759,0.021,0.87,,,0.726
PMAPP-PMO,done,322458824.0,2458057.0,76155.0,76155.0,0.0,76155.0,xml,xml,159.583,159.583,5406.9,1198.2,,0.0,0.0,101.321,0.183,13.022,0.11,0.522,0.137,0.182,0.595,0.376,157.462,0.629,32.001,,,105.409
PMD,done,478481.0,3579.0,529.0,529.0,0.0,529.0,xml,xml,0.396,0.396,0.0,451.8,cuda,1.0,0.0,0.114,0.001,0.009,0.001,0.002,0.015,0.001,0.002,0.002,0.278,0.009,,0.007,0.007,0.252
PMDO,done,286840.0,2615.0,629.0,629.0,0.0,629.0,xml,xml,0.396,0.396,0.0,525.0,cuda,45.0,0.0,0.085,0.001,0.007,0.001,0.001,0.026,0.001,0.003,0.002,0.254,0.011,,0.01,0.014,0.179
PMO,done,44851.0,383.0,46.0,46.0,0.0,45.0,xml,xml,0.332,0.332,0.0,516.7,cuda,40.0,0.0,0.013,0.0,0.001,0.0,0.0,0.08,0.0,0.0,0.001,0.22,0.005,,0.023,0.056,0.218
PMO-SPEED,done,14926.0,129.0,17.0,16.0,1.0,2.0,xml,xml,0.3,0.3,0.0,476.5,cuda,14.0,0.0,0.005,0.001,0.0,0.0,0.0,0.044,0.0,0.0,0.001,0.178,0.006,,0.016,0.027,0.159
PMR,done,1558277.0,12152.0,1618.0,1598.0,20.0,1597.0,xml,xml,0.936,0.936,0.0,452.2,cuda,1.0,0.0,0.43,0.002,0.169,0.002,0.003,0.019,0.006,0.008,0.005,0.801,0.018,,0.007,0.008,0.649
PNADO,done,1703990.0,15393.0,1618.0,1601.0,17.0,1601.0,xml,xml,1.234,1.234,1685.8,983.1,cuda,516.0,0.0,0.505,0.002,0.166,0.002,0.006,0.246,0.002,0.006,0.006,1.095,0.024,,0.053,0.184,0.693
PO,done,7851782.0,69622.0,2031.0,2029.0,2.0,2028.0,xml,xml,4.418,4.418,1789.7,1035.2,cuda,1810.0,0.0,2.581,0.0,0.401,0.004,0.015,0.911,0.02,0.012,0.008,4.237,0.038,,0.162,0.72,2.746
POEM,done,1742030.0,17880.0,1637.0,1637.0,0.0,1636.0,xml,xml,1.488,1.488,1688.9,879.7,cuda,1430.0,0.0,0.686,0.002,0.053,0.002,0.005,0.414,0.004,0.008,0.006,1.341,0.032,,0.113,0.286,0.682
PORO,done,1266040.0,11130.0,896.0,896.0,0.0,896.0,xml,xml,0.98,0.98,0.0,983.3,cuda,734.0,0.0,0.374,0.0,0.03,0.001,0.003,0.276,0.004,0.005,0.004,0.843,0.019,,0.061,0.206,0.507
PP,done,15050.0,90.0,15.0,15.0,0.0,15.0,xml,xml,0.285,0.285,0.0,459.5,cuda,8.0,0.0,0.004,0.001,0.0,0.0,0.0,0.033,0.0,0.0,0.001,0.161,0.006,,0.015,0.016,0.184
PPLC,parse_failed,1425582.0,,,,,156.0,,,0.015,,,,,,,,,,,,,,,,,,,,,1.148
PPO,done,1464988.0,17300.0,577.0,577.0,0.0,576.0,xml,xml,1.221,1.221,1685.1,983.1,cuda,566.0,0.0,0.448,0.0,0.172,0.001,0.002,0.289,0.006,0.007,0.003,1.081,0.015,,0.058,0.223,0.574
PR,done,1279414670.0,12599978.0,332990.0,332990.0,0.0,332990.0,xml,xml,770.151,770.151,19663.8,1992.8,cuda,328669.0,0.0,453.678,0.0,90.18,0.945,2.309,138.803,9.475,7.703,2.152,756.497,5.041,,43.047,89.724,3256.845
PREFER,done,22387620.0,278654.0,7189.0,6952.0,237.0,6952.0,xml,xml,14.997,14.997,2099.0,1049.9,cuda,6673.0,0.0,8.777,0.0,1.794,0.013,0.04,2.771,0.124,0.139,0.031,14.654,0.127,,0.721,1.961,7.462
PREGONTO,done,20623.0,175.0,40.0,40.0,0.0,39.0,xml,xml,0.252,0.252,0.0,450.7,,0.0,0.0,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.131,0.005,,,,0.201
PREMEDONTO,done,1185736.0,9309.0,543.0,543.0,0.0,543.0,xml,xml,0.79,0.79,0.0,983.1,cuda,521.0,0.0,0.274,0.001,0.024,0.001,0.004,0.208,0.001,0.002,0.003,0.659,0.016,,0.047,0.154,0.504
PREO,done,142860.0,1267.0,277.0,277.0,0.0,276.0,xml,xml,0.286,0.286,0.0,450.7,,0.0,0.0,0.044,0.0,0.003,0.0,0.0,0.0,0.001,0.001,0.001,0.175,0.006,,,,0.236
PROCCHEMICAL,done,25340.0,191.0,54.0,54.0,0.0,53.0,xml,xml,0.285,0.285,0.0,456.2,cuda,2.0,0.0,0.007,0.001,0.001,0.0,0.0,0.028,0.0,0.001,0.001,0.163,0.006,,0.01,0.017,0.179
PROCO,done,1534716.0,13231.0,936.0,922.0,14.0,922.0,xml,xml,1.283,1.283,1682.2,983.6,cuda,850.0,0.0,0.439,0.0,0.17,0.001,0.005,0.346,0.003,0.005,0.004,1.134,0.023,,0.084,0.251,0.617
PROJ,done,373304.0,3156.0,113.0,90.0,23.0,46.0,xml,xml,0.428,0.428,0.0,713.1,cuda,63.0,0.0,0.108,0.001,0.008,0.0,0.001,0.059,0.0,0.001,0.001,0.308,0.006,,0.012,0.044,0.224
PROMOT,done,3876176.0,41822.0,1016.0,1016.0,0.0,1015.0,xml,xml,2.42,2.42,1732.6,1032.1,cuda,755.0,0.0,1.333,0.0,0.275,0.003,0.005,0.409,0.014,0.01,0.004,2.264,0.022,,0.081,0.315,1.367
PROPREO,done,405146.0,2885.0,447.0,401.0,46.0,401.0,xml,xml,0.602,0.602,0.0,983.1,cuda,412.0,0.0,0.098,0.001,0.008,0.001,0.001,0.209,0.001,0.003,0.002,0.452,0.014,,0.061,0.142,0.314
PROVO,done,124903.0,1172.0,31.0,31.0,0.0,31.0,xml,xml,0.332,0.332,0.0,533.7,cuda,20.0,0.0,0.037,0.0,0.003,0.0,0.0,0.029,0.0,0.0,0.001,0.206,0.006,,0.01,0.017,0.301
PSDO,done,2792223.0,26430.0,1271.0,1252.0,19.0,1252.0,xml,xml,1.917,1.917,1703.6,984.6,cuda,1209.0,0.0,0.91,0.0,0.074,0.002,0.006,0.562,0.009,0.01,0.005,1.756,0.028,,0.111,0.434,1.066
